lati,longi,time,color
41.884279,-87.624168,2022-06-03 15:13:47.719000-05:00,green
41.884319,-87.624175,2022-06-03 15:13:27.655000-05:00,green
41.884315,-87.624206,2022-06-03 15:13:17.758000-05:00,green
41.883906,-87.624234,2022-06-03 15:12:28.278000-05:00,green
41.883383,-87.62413,2022-06-03 15:11:17.468000-05:00,green
41.883273,-87.624107,2022-06-03 15:10:42.492000-05:00,green
41.883266,-87.623914,2022-06-03 15:10:27.756000-05:00,green
41.883259,-87.623815,2022-06-03 15:10:17.805000-05:00,green
41.883172,-87.622991,2022-06-03 15:08:52.603000-05:00,green
41.882885,-87.622957,2022-06-03 15:08:12.427000-05:00,green
41.882511,-87.622905,2022-06-03 15:07:17.376000-05:00,green
41.882487,-87.622951,2022-06-03 15:07:07.340000-05:00,green
41.88219,-87.623155,2022-06-03 15:06:12.356000-05:00,green
41.882161,-87.623315,2022-06-03 15:05:57.694000-05:00,green
41.882171,-87.623669,2022-06-03 15:05:22.279000-05:00,green
41.882168,-87.623771,2022-06-03 15:05:12.564000-05:00,green
41.881867,-87.624502,2022-06-03 15:03:22.055000-05:00,green
41.881686,-87.624491,2022-06-03 15:02:57.173000-05:00,green
41.881587,-87.624491,2022-06-03 15:02:47.119000-05:00,green
41.881279,-87.624527,2022-06-03 15:02:17.110000-05:00,green
41.881082,-87.62452,2022-06-03 15:01:46.969000-05:00,green
41.88106,-87.62453,2022-06-03 15:01:42.303000-05:00,green
41.880955,-87.62482,2022-06-03 15:00:01.877000-05:00,green
41.880871,-87.625227,2022-06-03 14:59:31.749000-05:00,green
41.880857,-87.625856,2022-06-03 14:58:31.643000-05:00,green
41.880775,-87.625964,2022-06-03 14:58:16.707000-05:00,green
41.880743,-87.626003,2022-06-03 14:58:12.078000-05:00,green
41.88057,-87.625933,2022-06-03 14:57:56.943000-05:00,green
41.879629,-87.625863,2022-06-03 14:56:26.993000-05:00,green
41.879645,-87.625372,2022-06-03 14:55:39.925000-05:00,green
41.879616,-87.625295,2022-06-03 14:55:35.132000-05:00,green
41.879396,-87.624601,2022-06-03 14:53:50.279000-05:00,green
41.879127,-87.62454,2022-06-03 14:53:14.926000-05:00,green
41.87876,-87.624609,2022-06-03 14:52:29.600000-05:00,green
41.878414,-87.624485,2022-06-03 14:51:44.610000-05:00,green
41.878325,-87.624498,2022-06-03 14:51:34.533000-05:00,green
41.878026,-87.624493,2022-06-03 14:51:04.419000-05:00,green
41.877873,-87.624436,2022-06-03 14:50:44.507000-05:00,green
41.877497,-87.624388,2022-06-03 14:49:44.434000-05:00,green
41.87729,-87.62443,2022-06-03 14:49:24.823000-05:00,green
41.876554,-87.62445,2022-06-03 14:47:54.377000-05:00,green
41.876302,-87.624419,2022-06-03 14:47:19.335000-05:00,green
41.87594,-87.624419,2022-06-03 14:46:29.303000-05:00,green
41.875793,-87.624397,2022-06-03 14:46:14.224000-05:00,green
41.875165,-87.624442,2022-06-03 14:45:14.167000-05:00,green
